No.,Channel,KOL,KOL_Post,Region
95,Youtube,Meta Tech Review,https://www.youtube.com/watch?v=qr-vVB6kMMk,India
96,Youtube,True Techy,https://www.youtube.com/watch?v=sNaLyJdkDbc&t=239s,India
97,Youtube,whysotechie,https://www.youtube.com/watch?v=7kKE9EpSv3A,India
98,Instagram,mrcheri,https://www.instagram.com/mrcheri/,India
99,Instagram,ask.theashugandhi,https://www.instagram.com/ask.theashugandhi/,India
100,Instagram,techyoulogy,https://www.instagram.com/techyoulogy?igsh=MXUxODdoOWxscXRvYQ==,India
101,Youtube,tech therapy,https://www.youtube.com/watch?v=4aoSUNLAENU,India
102,Youtube,Techum,https://www.youtube.com/watch?v=zQ-91lmmGg4,India
103,Youtube,Techreflex,https://www.youtube.com/watch?v=9OEpud18Vps&t=41s,India
104,Instagram,technicoHimanshu,https://www.instagram.com/digi.bytess/,India
105,Instagram,digi bytess,https://www.instagram.com/digi.bytess/,India
106,Instagram,pritamtechmind,https://www.instagram.com/reel/C_nc8Jwv22K/?igsh=cTJ1bDA4aWFld2Zh,India
107,Instagram,gadgetbhaii,https://www.instagram.com/reel/DCE3sRtSjZ6/?igsh=NHo0MTE3ZzFnNGVu,India
108,Youtube,iGadz Unique,https://www.youtube.com/watch?v=peqbXA1GP5c,India
109,Youtube,Smart Supporter,https://www.youtube.com/watch?v=HjN08m2fBKA,India
110,Instagram,True Techy,https://www.instagram.com/p/C_BHo0NzbWo/,India
111,Instagram,bhavna_pathania,https://www.instagram.com/reel/C_Nku1JPLYE/?igsh=ZjBvdDR5Nzc3dmE4,India
112,Instagram,tec_viral,https://www.instagram.com/reel/C_dWDHGO5fM/?igsh=MXFkbzhsM29jbHV5MQ==,India
113,Instagram,Techbit,https://www.instagram.com/reel/C_qBbbNh5Hz/?igsh=MWZxemlvaGNleWJxMw==,India
114,Instagram,TechnoBhawesh,https://www.instagram.com/reel/C_zLwgxP2Gp/?igsh=MTR6d2VsZWs2dHBzNQ==,India
